customer_id,customer_name,email,country_code,date_of_birth,signup_date,kyc_status
20,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,lmurray@example.com,NG,2004-03-12,2023-11-15,pending
21,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,gonzalezbrenda@example.net,DE,1968-03-12,2025-01-29,pending
22,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,gmorris@example.net,AE,1983-06-20,2024-03-23,pending
23,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,mwilliams@example.org,GB,1985-06-20,2023-09-26,rejected
24,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,anthonyrobin@example.com,NG,2006-11-10,2026-01-28,verified
25,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,fpitts@example.com,NG,1966-01-17,2025-10-12,rejected
26,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,ltaylor@example.com,CN,1974-05-25,2025-05-17,pending
27,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,martinezjared@example.net,CN,1959-08-03,2025-12-05,rejected
28,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,wpittman@example.org,US,2003-08-18,2025-05-01,rejected
29,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,kellyrebecca@example.com,AE,1984-03-27,2023-07-04,pending
30,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,fuentesann@example.net,BR,1993-12-19,2024-04-27,verified
31,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,nelsonnicole@example.org,GB,1993-04-22,2025-02-09,rejected
32,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,georgejohnson@example.net,GB,1984-07-29,2024-03-14,verified
33,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,rosesarah@example.org,BR,2004-08-02,2025-09-11,verified
34,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,smithbrady@example.com,DE,1970-03-09,2023-06-30,verified
35,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,anthonycampos@example.net,NG,2003-06-29,2024-05-22,verified
36,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,darrell31@example.com,IN,1974-09-19,2023-08-02,pending
37,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,alexa58@example.net,BR,1995-07-31,2026-03-28,verified
38,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,morganderek@example.net,DE,1974-06-20,2025-06-28,rejected
39,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,mthomas@example.org,CN,1956-06-14,2026-02-26,rejected
40,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,gtran@example.org,DE,2005-04-08,2023-07-29,pending
41,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,harrisamanda@example.com,CN,1984-06-25,2023-07-15,pending
42,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,christinesmith@example.com,ES,1956-12-09,2025-09-10,pending
43,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,fperry@example.org,CN,1974-03-29,2026-02-04,rejected
44,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,lindadalton@example.org,CN,1956-07-31,2025-08-25,pending
45,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,sylviahamilton@example.org,NG,2002-09-18,2026-03-30,rejected
46,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,wharris@example.com,AE,1996-06-20,2025-10-07,verified
47,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,pstanton@example.com,GB,1970-11-23,2023-12-03,verified
48,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,martinjason@example.org,GB,1991-07-25,2025-04-11,pending
49,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,clarkjulie@example.org,GB,1948-12-31,2025-12-13,pending
50,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,vmoses@example.net,ES,1999-12-02,2025-01-08,verified
51,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,adamspenny@example.org,US,1997-08-30,2024-07-31,rejected
52,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,nelsonbethany@example.com,GB,1972-01-04,2023-10-01,verified
53,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,debra05@example.com,US,1985-11-30,2024-04-14,verified
54,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,thompsonkrista@example.org,NG,1961-05-30,2023-06-27,rejected
55,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,phelpsdavid@example.org,ES,1965-06-11,2023-11-05,pending
56,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,henryallison@example.org,IN,1973-05-06,2024-08-18,pending
57,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,jenkinsjay@example.com,NG,1956-03-11,2024-12-13,pending
58,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,johnsonrebecca@example.org,US,1992-06-19,2023-12-13,rejected
59,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,ugaines@example.com,CN,2001-01-05,2025-08-20,verified
60,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,stacy14@example.org,NG,1992-04-07,2024-12-16,pending
61,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,wmurphy@example.net,US,1970-10-31,2025-01-17,pending
62,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,michael50@example.org,IN,1945-09-13,2025-03-05,pending
63,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,joseph07@example.com,US,2005-07-05,2025-01-15,verified
64,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,kimberlygilbert@example.com,NG,2003-04-10,2025-02-28,verified
65,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,bishopcaitlin@example.com,AE,1983-11-03,2025-07-17,pending
66,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,tgraham@example.com,AE,2007-08-25,2023-06-03,verified
67,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,amberdalton@example.net,GB,1947-04-03,2024-01-09,pending
68,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,waltersbridget@example.net,CN,2003-03-02,2024-02-01,rejected
69,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,udixon@example.org,US,1986-07-29,2024-03-21,rejected
70,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,daltonchristopher@example.com,ES,1982-12-16,2025-06-04,verified
71,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,danielleanderson@example.net,CN,1984-11-15,2023-08-20,verified
72,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,michaelbrown@example.org,IN,1972-12-11,2025-02-06,rejected
73,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,mscott@example.org,DE,2007-12-15,2023-10-11,rejected
74,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,chaynes@example.net,CN,1997-08-03,2026-03-09,verified
75,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,ashleerogers@example.net,US,2006-04-08,2023-07-11,pending
76,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,fsmith@example.net,GB,1951-12-06,2024-09-18,pending
77,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,scott80@example.com,ES,1948-10-05,2025-01-22,verified
78,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,kyle94@example.net,ES,2005-12-24,2024-07-14,rejected
79,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,jessica47@example.com,US,1986-05-24,2025-05-26,rejected
80,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,laurie63@example.org,BR,1998-11-29,2024-06-16,verified
81,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,dnelson@example.org,BR,1995-10-24,2024-01-26,verified
82,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,hcannon@example.org,ES,1995-07-29,2026-01-07,verified
83,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,josepoole@example.org,US,1974-03-23,2025-07-12,pending
84,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,weavertheresa@example.net,BR,2003-10-03,2025-03-07,verified
85,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,richard94@example.org,GB,1965-02-13,2024-08-19,verified
86,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,amandaortega@example.com,DE,1978-10-01,2026-03-05,rejected
87,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,sjacobson@example.net,AE,1946-03-02,2025-05-07,pending
88,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,alexanderlloyd@example.com,DE,1964-06-17,2024-05-30,verified
89,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,nielsensara@example.com,CN,1961-01-13,2025-12-04,verified
90,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,nwalker@example.com,DE,1954-06-29,2025-02-18,pending
91,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,amberhenry@example.org,DE,2001-12-19,2025-07-24,pending
92,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,pnelson@example.com,ES,1970-12-22,2023-10-12,pending
93,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,landrystephanie@example.net,DE,1986-04-20,2026-02-15,rejected
94,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,obrienkarla@example.com,BR,1979-11-13,2024-09-09,rejected
95,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,michellemullins@example.net,AE,1992-01-21,2024-03-19,verified
96,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,xwilliams@example.net,GB,1954-12-04,2025-05-05,verified
97,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,longkyle@example.com,BR,1950-11-15,2025-02-07,pending
98,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,mossronnie@example.org,CN,1958-01-07,2024-03-02,rejected
99,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,hunterapril@example.com,AE,2000-03-23,2023-06-21,rejected
100,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001D91685ACF0>>,hherman@example.com,AE,1960-11-22,2025-02-17,rejected
